Name,Displayed As,Symbol,Description,Stacks?,Remove at End Turn?,Remove at Start Turn?,Invisible?,Blocked by Reduce?,Script: When inflicted,Script: On any status infliction,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: After Combat,Script: On damage inflicted,Script: On damage taken,Script: On status remove
mqbonk,Bonked,star,Take double damage from [yellow]Bonk[].,NO,NO,YES,NO,NO,,,,,,,,,,,
mqshadow1,Shadow,blind,Roll an extra 1 and take [sword]1 damage each turn.,NO,NO,NO,NO,NO,,,,givedice(1); pierceattackself(1);,,,,,,,
mqshadow2,Shadow,blind,Roll an extra 2 and take [sword]1 damage each turn.,NO,NO,NO,NO,NO,,,,givedice(2); pierceattackself(1);,,,,,,,
mqshadow3,Shadow,blind,Roll an extra 3 and take [sword]1 damage each turn.,NO,NO,NO,NO,NO,,,,givedice(3); pierceattackself(1);,,,,,,,
mqshadow4,Shadow,blind,Roll an extra 4 and take [sword]1 damage each turn.,NO,NO,NO,NO,NO,,,,givedice(4); pierceattackself(1);,,,,,,,
mqshadow5,Shadow,blind,Roll an extra 5 and take [sword]1 damage each turn.,NO,NO,NO,NO,NO,,,,givedice(5); pierceattackself(1);,,,,,,,
mqshadow6,Shadow,blind,Roll an extra 6 and take [sword]1 damage each turn.,NO,NO,NO,NO,NO,,,,givedice(6); pierceattackself(1);,,,,,,,
reversenexttarget,Swap_Next_Target,recycle,The next equipment you use will swap target.,YES,YES,NO,NO,NO,,,,,,,,,,,
haunted,Haunted,haunted,Using any piece of equipment will|reroll a random dice.,YES,YES,NO,NO,YES,,,,,,,,,,,
blockall,Block_All,reduce,Take no damage until the end of this turn.,NO,YES,YES,NO,NO,,,,,,,,,,,
spookyfury,Spooky_Fury,fury,50% chance to use the next equipment twice[;]|lasts until something triggers it.,YES,NO,NO,NO,NO,,,,,,,,,,,
doublespookyfury,Spooky_Fury,fury,50% chance to use the next equipment twice[;]|lasts until something triggers it.,NO,YES,YES,YES,NO,,,,,,,,,,,
errorall,Error_All,recycle,(text should not appear - workaround for Polarity Flip + Pandemonium combination),NO,YES,NO,YES,NO,,,,,,,,,,,
mqverse,Verse,jinx,Increase by [jinx]1 on equipment use.|On [jinx]10[;] heal everyone by [heal]4.|Passed to the enemy after your turn.,YES,YES,NO,NO,NO,,,,,,,inflict(~mqverse~ | (getstatusself(~mqverse~) % 10));,,,,
mqdirewolfcurse,Dire_Curse,curse,Gain [curse]<value> curses every turn.|Defeat enemies to reduce.,YES,YES,NO,NO,NO,,,,,,,,,,,
mqreduce,Always_reduce_by,reduce,Take less damage from every enemy attack this battle.,YES,YES,NO,NO,NO,,,,,,,,,,,
alternate_mqreduce,Always_reduce_by?,reduce,Block <value> status effects from enemy every turn.,YES,YES,NO,NO,NO,,,,,,,,,,,
mqsharpening,Sharpening,sword,Deal additional [sword]<value> damage with your attacks.,YES,YES,NO,NO,NO,,,,,,,,,,,
mqweaknessfire,Fire_Weakness,fire,You are weak to fire damage.,NO,NO,NO,NO,NO,,,,,,,,,,,
mqweaknessice,Ice_Weakness,ice,You are weak to ice damage.,NO,NO,NO,NO,NO,,,,,,,,,,,
mqweaknesspoison,Poison_Weakness,poison,You are weak to poison damage.,NO,NO,NO,NO,NO,,,,,,,,,,,
mqweaknessshock,Shock_Weakness,shock,You are weak to shock damage.,NO,NO,NO,NO,NO,,,,,,,,,,,
mqstrengthfire,Fire_Resistance,fire,You are strong to fire damage.,NO,NO,NO,NO,NO,,,,,,,,,,,
mqstrengthice,Ice_Resistance,ice,You are strong to ice damage.,NO,NO,NO,NO,NO,,,,,,,,,,,
mqstrengthpoison,Poison_Resistance,poison,You are strong to poison damage.,NO,NO,NO,NO,NO,,,,,,,,,,,
mqstrengthshock,Shock_Resistance,shock,You are strong to shock damage.,NO,NO,NO,NO,NO,,,,,,,,,,,
mqcursedbite,Cursed_Bite,curse,Your equipment is temporarily replaced with the enemy equipment.,NO,NO,NO,NO,NO,,,,,,,,,,,
mqinsanity,Insanity,jinx,Your equipment has random effects this turn.,YES,YES,NO,NO,NO,,,,,,,,,,,
mqencase,Encase,mana,Lock <value> equipment behind a countdown for this fight.,YES,YES,YES,NO,NO,,,,,,,,,,,
mqencase_all,Encase_all,mana,Lock all equipment behind a countdown for this fight.,NO,NO,YES,NO,NO,,,,,,,,,,,
mqfatigue,Fatigue,weaken,Weakened equipment has no effect.,NO,NO,YES,NO,NO,,,,,,,,,,,
mqpotionmixer_fire,Fire_Element,fire,Mixed potions inflict [fire]<value> burn and do [fire]2x<value> damage.,YES,YES,NO,NO,NO,,,,,,,,,,,
mqpotionmixer_ice,Ice_Element,ice,Mixed potions inflict [ice]<value> freeze and do [ice]2x<value> damage.,YES,YES,NO,NO,NO,,,,,,,,,,,
mqpotionmixer_shock,Shock_Element,shock,Mixed potions inflict [shock]<value> shock and do [shock]2x<value> damage.,YES,YES,NO,NO,NO,,,,,,,,,,,
mqpotionmixer_poison,Poison_Element,poison,Mixed potions inflict [poison]<value> poison and do [poison]2x<value> damage.,YES,YES,NO,NO,NO,,,,,,,,,,,
mqpotionmixer_weaken,Weakness_Element,weaken,Mixed potions inflict [weaken]<value> weaken and do [weaken]2x<value> damage.,YES,YES,NO,NO,NO,,,,,,,,,,,
mqpotionmixer_bear,Ferocity_Element,potion,Mixed potions heal you for [heal]6x<value> and transform you into a bear.,YES,YES,NO,NO,NO,,,,,,,,,,,
mqsubzero,Subzero,ice,[ice]Freeze also inflicts [lock]Lock.,NO,NO,NO,NO,NO,,,if(self.hasstatus(ICE)) inflictself(LOCK | getstatusself(ICE));,,,,,,,,
mqfakeice,Frozen,ice,Turns the highest dice rolled into a 1.,YES,YES,YES,NO,NO,,,,,,,,,,,
mqfakeice_all,Frozen_all,ice,Turns the highest dice rolled into a 1.,NO,NO,YES,NO,NO,,,,,,,,,,,
alternate_mqfakeice,Frozen?,ice,Reduce all dice values by <value>.,YES,YES,YES,NO,NO,,,,,,,,,,,
alternate_mqfakeice_all,Frozen_all?,ice,Reduce all dice values by 1.,NO,NO,YES,NO,NO,,,,,,,,,,,
mqhelium,Helium,jinx,Things fly away!,NO,NO,YES,NO,YES,,,,,,,,,,,
mqheliumreduction,Helium_Reduction,jinx,Helium-filled things fly away [jinx]<value>% slower.,YES,YES,NO,NO,NO,,,,,,,,,,,
mqmadisonfury,Lasting_Fury,fury,Gain [fury]1 Fury at the start of each turn (<value> turns left).,YES,YES,NO,YES,NO,,,,,,,,,,,
mqruleverse,Verse,jinx,(should not appear),NO,NO,NO,YES,NO,,,,,inflictself(~mqverse~); if(getstatusself(~mqverse~) == 10){ attackself(-4); attack(-4); inflictself(~verseremove~); },,,,,,
mqvacuumrule,Vacuum_Drain,heart,Drain [heart]2 health when attacking.,NO,NO,NO,NO,NO,,,,,,,,,attackself(-2);,,
mqsneezyrule,Sneeze_Boost,dice,When a countdown is lowered[;]|all countdowns decrease by 1.,NO,NO,NO,NO,NO,,,,,,boostcountdowns(1);,,,,,
gainweirdhaunt,Gain_Haunt,haunted,(should not appear),NO,NO,NO,YES,NO,,,inflict(~weirdhaunt~);,,,,,,,,
possess,Possession,haunted,[haunted]Haunted dice reroll into|the same value or lower.,NO,NO,NO,YES,NO,var skill = new elements.Skill(~Hellfire~); skill.script = ~inflictself(\~weirdhaunt\~ | getstatusself(\~haunted\~)); removestatusself(\~haunted\~ | ALL);~; new motion.actuators.SimpleActuator(null[;] 0.01[;] null).onComplete(skill.execute[;] [self[;] target]).move(),var skill = new elements.Skill(~Hellfire~); skill.script = ~inflictself(\~weirdhaunt\~ | getstatusself(\~haunted\~)); removestatusself(\~haunted\~ | ALL);~; new motion.actuators.SimpleActuator(null[;] 0.01[;] null).onComplete(skill.execute[;] [self[;] target]).move(),var skill = new elements.Skill(~Hellfire~); skill.script = ~inflictself(\~weirdhaunt\~ | getstatusself(\~haunted\~)); removestatusself(\~haunted\~ | ALL);~; new motion.actuators.SimpleActuator(null[;] 0.01[;] null).onComplete(skill.execute[;] [self[;] target]).move(),var skill = new elements.Skill(~Hellfire~); skill.script = ~inflictself(\~weirdhaunt\~ | getstatusself(\~haunted\~)); removestatusself(\~haunted\~ | ALL);~; new motion.actuators.SimpleActuator(null[;] 0.01[;] null).onComplete(skill.execute[;] [self[;] target]).move(),new motion.actuators.SimpleActuator(null[;] 0.01[;] null).onComplete(removestatusself[;] [~weirdhaunt~[;] 1]).move(),,,,,,
weirdhaunt,Haunted,haunted,Using any piece of equipment|will reroll a random dice into|a lower value if possible.,YES,YES,NO,NO,YES,,,,,var dicelist = []; for (mydice in self.dicepool){ if (mydice.available()){ dicelist.push(mydice); } } if(dicelist.length > 0) { shuffle(dicelist); var dlist = []; var dval = dicelist[0].basevalue; if(dval == 1){dlist = [1];} if(dval == 2){dlist = [1];} if(dval == 3){dlist = [1|2];} if(dval == 4){dlist = [1|2|3];} if(dval == 5){dlist = [1|2|3|4];} if(dval == 6){dlist = [1|2|3|4|5];} dicelist[0].animatereroll(rand(dlist)| self.screenposition()); } new motion.actuators.SimpleActuator(null[;] 0.01[;] null).onComplete(removestatusself[;] [~weirdhaunt~[;] 1]).move(),,,,,,
verseremove,ReVerse,jinx,(should not appear),NO,NO,NO,YES,NO,removestatusself(~mqverse~ | 10);,,,,,,,,,,
kirbhaunt,Haunted,haunted,Using any piece of equipment will|reroll a random dice.,YES,YES,NO,NO,YES,,,,,var dicelist = []; for (mydice in self.dicepool){ if (mydice.available()){ dicelist.push(mydice); } } if(dicelist.length > 0) { shuffle(dicelist);  dicelist[0].animatereroll(rand([1|2|3|4|5|6])| self.screenposition()); } new motion.actuators.SimpleActuator(null[;] 0.01[;] null).onComplete(removestatusself[;] [~weirdhaunt~[;] 1]).move(),,,,,,
